id,name,category,price
PROD_00000,Product Fact 355,Electronics,507.06
PROD_00001,Product Prepare 172,Pharma,722.83
PROD_00002,Product Board 269,Aerospace,462.69
PROD_00003,Product Degree 984,Aerospace,2702.58
PROD_00004,Product Within 459,Energy,1841.47
PROD_00005,Product Fund 653,Energy,454.09
PROD_00006,Product Realize 300,Textiles,4009.37
PROD_00007,Product Perform 845,Energy,2681.22
PROD_00008,Product Me 493,Electronics,2590.26
PROD_00009,Product Evening 665,Automotive,1237.77
PROD_00010,Product Through 342,Pharma,595.49
PROD_00011,Product Never 352,Aerospace,2969.75
PROD_00012,Product Person 827,Automotive,946.02
PROD_00013,Product Her 837,Pharma,2919.34
PROD_00014,Product Yet 914,Pharma,1871.83
PROD_00015,Product Interview 119,Automotive,491.84
PROD_00016,Product Exactly 511,Energy,3329.47
PROD_00017,Product Challenge 157,Electronics,4969.69
PROD_00018,Product Hot 769,Automotive,4170.16
PROD_00019,Product Citizen 384,Textiles,363.88
PROD_00020,Product Million 592,Automotive,377.58
PROD_00021,Product Ground 201,Pharma,485.82
PROD_00022,Product Size 284,Automotive,2250.8
PROD_00023,Product Difficult 548,Pharma,3572.08
PROD_00024,Product Believe 796,Pharma,4959.38
PROD_00025,Product Level 876,Pharma,4330.1
PROD_00026,Product Middle 225,Textiles,3822.43
PROD_00027,Product Somebody 337,Aerospace,1049.53
PROD_00028,Product Pattern 168,Textiles,1759.6
PROD_00029,Product Worry 368,Energy,2332.23
PROD_00030,Product Available 477,Textiles,2700.37
PROD_00031,Product According 954,Pharma,3709.66
PROD_00032,Product Him 175,Textiles,2015.85
PROD_00033,Product Stand 900,Pharma,1745.24
PROD_00034,Product During 788,Electronics,3974.36
PROD_00035,Product Letter 248,Energy,1995.76
PROD_00036,Product Continue 257,Electronics,3864.94
PROD_00037,Product Help 544,Electronics,4464.12
PROD_00038,Product It 591,Electronics,1589.64
PROD_00039,Product Guy 595,Automotive,4411.71
PROD_00040,Product Image 277,Aerospace,715.01
PROD_00041,Product Door 914,Aerospace,4015.9
PROD_00042,Product Wall 438,Automotive,4736.7
PROD_00043,Product Detail 677,Textiles,3560.28
PROD_00044,Product Model 424,Electronics,1983.73
PROD_00045,Product Decade 911,Pharma,4406.02
PROD_00046,Product Even 200,Energy,3342.92
PROD_00047,Product Dark 900,Pharma,1413.61
PROD_00048,Product Thus 110,Electronics,2643.21
PROD_00049,Product Food 843,Automotive,2636.87
